DateID,Date,DayOfWeek,Month,Year
124,2023-05-04,Thursday,May,2023
125,2023-05-05,Friday,May,2023
126,2023-05-06,Saturday,May,2023
127,2023-05-07,Sunday,May,2023
128,2023-05-08,Monday,May,2023
129,2023-05-09,Tuesday,May,2023
130,2023-05-10,Wednesday,May,2023
131,2023-05-11,Thursday,May,2023
132,2023-05-12,Friday,May,2023
133,2023-05-13,Saturday,May,2023
134,2023-05-14,Sunday,May,2023
135,2023-05-15,Monday,May,2023
136,2023-05-16,Tuesday,May,2023
137,2023-05-17,Wednesday,May,2023
138,2023-05-18,Thursday,May,2023
139,2023-05-19,Friday,May,2023
140,2023-05-20,Saturday,May,2023
141,2023-05-21,Sunday,May,2023
142,2023-05-22,Monday,May,2023
143,2023-05-23,Tuesday,May,2023
144,2023-05-24,Wednesday,May,2023
145,2023-05-25,Thursday,May,2023
146,2023-05-26,Friday,May,2023
147,2023-05-27,Saturday,May,2023
148,2023-05-28,Sunday,May,2023
149,2023-05-29,Monday,May,2023
150,2023-05-30,Tuesday,May,2023
151,2023-05-31,Wednesday,May,2023
152,2023-06-01,Thursday,June,2023
153,2023-06-02,Friday,June,2023
154,2023-06-03,Saturday,June,2023
155,2023-06-04,Sunday,June,2023
156,2023-06-05,Monday,June,2023
157,2023-06-06,Tuesday,June,2023
158,2023-06-07,Wednesday,June,2023
159,2023-06-08,Thursday,June,2023
160,2023-06-09,Friday,June,2023
161,2023-06-10,Saturday,June,2023
162,2023-06-11,Sunday,June,2023
163,2023-06-12,Monday,June,2023
164,2023-06-13,Tuesday,June,2023
165,2023-06-14,Wednesday,June,2023
166,2023-06-15,Thursday,June,2023
167,2023-06-16,Friday,June,2023
168,2023-06-17,Saturday,June,2023
169,2023-06-18,Sunday,June,2023
170,2023-06-19,Monday,June,2023
171,2023-06-20,Tuesday,June,2023
172,2023-06-21,Wednesday,June,2023
173,2023-06-22,Thursday,June,2023
174,2023-06-23,Friday,June,2023
175,2023-06-24,Saturday,June,2023
176,2023-06-25,Sunday,June,2023
177,2023-06-26,Monday,June,2023
178,2023-06-27,Tuesday,June,2023
179,2023-06-28,Wednesday,June,2023
180,2023-06-29,Thursday,June,2023
181,2023-06-30,Friday,June,2023
182,2023-07-01,Saturday,July,2023
183,2023-07-02,Sunday,July,2023
184,2023-07-03,Monday,July,2023
185,2023-07-04,Tuesday,July,2023
186,2023-07-05,Wednesday,July,2023
187,2023-07-06,Thursday,July,2023
188,2023-07-07,Friday,July,2023
189,2023-07-08,Saturday,July,2023
190,2023-07-09,Sunday,July,2023
191,2023-07-10,Monday,July,2023
192,2023-07-11,Tuesday,July,2023
193,2023-07-12,Wednesday,July,2023
194,2023-07-13,Thursday,July,2023
195,2023-07-14,Friday,July,2023
196,2023-07-15,Saturday,July,2023
197,2023-07-16,Sunday,July,2023
198,2023-07-17,Monday,July,2023
199,2023-07-18,Tuesday,July,2023
200,2023-07-19,Wednesday,July,2023
